transcript	PFAM_domain	start	end
AT3G12360.2	PF13637	223	274
AT3G12360.2	PF13637	188	240
AT3G12360.2	PF13962	401	507
AT3G15700.1	PF00931	157	364
AT3G24463.1	PF02136	11	113
AT3G11620.6	PF10230	14	262
AT3G11620.7	PF10230	14	262
AT3G11620.9	PF10230	14	262
AT3G10450.4	PF00450	33	412
AT3G20020.3	PF06325	117	192
AT3G06370.3	PF00999	30	443
AT3G06370.4	PF00999	30	443
AT3G53930.3	PF00069	1	92
AT3G53930.5	PF00069	1	92
AT3G48980.2	PF05686	139	533
AT3G09240.3	PF07714	73	309
AT3G13730.2	PF00067	52	464
AT3G51290.3	PF04782	202	509
AT3G51290.3	PF04783	1	59
AT3G53250.1	PF02519	44	110
AT3G02420.2	PF03661	60	238
AT3G61850.5	PF02701	60	116
AT3G01490.2	PF07714	110	341
AT3G10490.3	PF02365	2	54
AT3G10490.4	PF02365	2	54
AT3G52260.4	PF00849	105	283
AT3G51470.2	PF00481	36	275
AT3G14080.4	PF01423	12	70
AT3G57740.1	PF07714	82	262
AT3G57740.2	PF07714	82	262
AT3G06770.4	PF00295	51	333
AT3G60460.1	PF13921	16	66
AT3G60460.1	PF00249	69	108
AT3G01310.3	PF00328	334	924
AT3G01310.3	PF18086	1	74
AT3G12990.4	PF01138	37	168
AT3G12990.4	PF03725	197	264
AT3G06630.3	PF00989	65	175
AT3G06630.4	PF00989	65	175
AT3G06630.5	PF00989	65	175
AT3G06630.3	PF07714	434	640
AT3G06630.4	PF07714	434	640
AT3G06630.5	PF07714	434	640
AT3G04240.2	PF00515	93	125
AT3G04240.2	PF13181	2	22
AT3G04240.2	PF13414	169	208
AT3G04240.2	PF13414	201	242
AT3G04240.2	PF13414	236	268
AT3G04240.2	PF13424	26	88
AT3G04240.2	PF13844	275	513
AT3G04240.2	PF13844	526	711
AT3G27110.5	PF01435	129	265
AT3G09250.3	PF02151	75	104
AT3G09250.3	PF13474	110	228
AT3G19460.3	PF02453	22	159
AT3G19460.7	PF02453	22	159
AT3G19460.3	PF02453	163	210
AT3G19460.7	PF02453	163	210
AT3G19430.2	PF06830	493	549
AT3G02620.2	PF03405	72	399
AT3G11530.3	PF04133	1	86
AT3G54970.6	PF01063	28	288
AT3G05870.3	PF12861	12	90
AT3G05870.4	PF12861	12	90
AT3G05870.5	PF12861	12	90
AT3G08840.12	PF01820	79	194
AT3G08840.12	PF07478	252	390
AT3G14150.5	PF01070	1	245
AT3G14150.7	PF01070	1	245
AT3G25740.2	PF00557	107	181
AT3G02740.2	PF14541	208	360
AT3G02740.2	PF14543	10	190
AT3G05140.2	PF07714	195	455
AT3G51360.2	PF14543	100	277
AT3G18960.2	PF02362	30	120
AT3G50240.3	PF00225	3	278
AT3G61700.4	PF09713	56	107
AT3G48970.2	PF00403	5	62
AT3G48970.3	PF00403	5	62
AT3G16840.2	PF00270	215	423
AT3G16840.2	PF00271	489	597
AT3G12820.2	PF00249	21	66
AT3G05030.3	PF00999	28	431
AT3G49630.3	PF03171	188	279
AT3G49630.3	PF14226	9	134
AT3G14205.2	PF02383	2	217
AT3G20250.2	PF00806	764	799
AT3G20250.3	PF00806	764	799
AT3G20250.2	PF00806	620	654
AT3G20250.3	PF00806	620	654
AT3G20250.2	PF00806	837	871
AT3G20250.3	PF00806	837	871
AT3G20250.2	PF00806	692	725
AT3G20250.3	PF00806	692	725
AT3G20250.2	PF00806	659	689
AT3G20250.3	PF00806	659	689
AT3G20250.2	PF00806	803	834
AT3G20250.3	PF00806	803	834
AT3G20250.2	PF00806	879	910
AT3G20250.3	PF00806	879	910
AT3G20250.2	PF00806	734	749
AT3G20250.3	PF00806	734	749
AT2G39690.4	PF04784	293	418
AT2G39690.4	PF14389	2	71
AT3G24840.3	PF00650	151	313
AT3G24840.5	PF00650	151	313
AT3G24840.7	PF00650	151	313
AT3G24840.3	PF03765	75	124
AT3G24840.5	PF03765	75	124
AT3G24840.7	PF03765	75	124
AT3G14150.3	PF01070	3	267
AT3G14150.4	PF01070	3	267
AT3G14150.6	PF01070	3	267
AT2G34990.2	PF13639	117	160
AT2G46810.2	PF00010	119	169
AT2G18196.2	PF00403	1	52
AT2G39690.8	PF04784	293	417
AT2G39690.8	PF14389	2	71
AT2G26980.2	PF00069	14	255
AT3G20810.5	PF13621	188	334
AT3G10455.1	PF05938	25	128
AT3G01435.2	PF10280	50	122
AT2G03480.3	PF03141	96	402
AT2G45460.4	PF00498	99	171
AT2G47830.2	PF01545	5	153
AT2G47830.2	PF16916	158	235
AT2G03720.2	PF00582	65	210
AT2G45940.2	PF03478	279	324
AT2G33880.2	PF00046	53	113
AT2G31020.1	PF01237	411	758
AT2G31020.1	PF15413	93	217
AT2G45490.2	PF00069	22	253
AT2G16390.2	PF00176	372	572
AT2G16390.2	PF00271	702	814
AT2G23890.2	PF05761	167	569
AT2G23890.2	PF05761	99	144
AT2G29100.2	PF00060	568	821
AT2G29100.2	PF00497	470	789
AT2G29100.2	PF01094	48	398
AT2G46495.2	PF13639	292	334
AT2G46495.2	PF13947	26	93
AT2G47630.3	PF12146	33	250
AT2G30150.2	PF00201	265	384
AT2G30340.2	PF03195	53	149
AT2G30260.2	PF00076	12	82
AT2G30840.2	PF03171	215	279
AT2G30840.2	PF14226	57	158
AT2G17320.2	PF01937	45	329
AT2G28290.5	PF00176	759	1049
AT2G28290.5	PF00271	1075	1188
AT2G28290.5	PF14619	1282	1379
AT2G36355.4	PF04949	8	105
AT2G40130.1	PF07724	574	697
AT2G23890.3	PF05761	9	454
AT2G30800.2	PF00271	201	327
AT2G30800.2	PF04408	392	483
AT2G30800.2	PF07717	552	639
AT2G44180.2	PF00557	11	308
AT2G47630.2	PF12146	2	230
AT2G29110.2	PF00060	579	828
AT2G29110.2	PF00497	482	796
AT2G29110.2	PF01094	50	400
AT2G33205.9	PF03348	43	324
AT2G33205.9	PF03348	330	397
AT2G43720.2	PF05811	1	102
AT2G41720.3	PF13041	145	188
AT2G41720.3	PF13041	213	258
AT2G41720.3	PF13041	180	223
AT2G41720.3	PF13041	246	294
AT2G41720.3	PF13812	376	438
AT2G41720.3	PF13812	313	365
AT2G41720.3	PF13812	447	482
AT2G41720.3	PF13812	728	783
AT2G41720.3	PF17177	510	664
AT2G43430.3	PF00753	46	198
AT2G43430.3	PF16123	202	286
AT2G01460.3	PF00485	513	680
AT2G01460.3	PF00485	65	222
AT2G46070.3	PF00069	79	361
AT2G39445.2	PF08510	60	141
AT2G43690.2	PF00139	5	213
AT2G43690.2	PF00069	302	510
AT2G38010.3	PF04734	26	591
AT2G38010.3	PF17048	593	756
AT2G18790.2	PF00360	446	621
AT2G18790.2	PF00512	930	991
AT2G18790.2	PF00989	786	905
AT2G18790.2	PF00989	655	770
AT2G18790.2	PF01590	252	433
AT2G18790.2	PF08446	103	219
AT2G40820.4	PF16709	311	408
AT2G40820.4	PF16711	82	124
AT2G40820.4	PF16712	128	297
AT2G40820.4	PF17684	411	517
AT2G25320.3	PF00917	433	540
AT2G25320.3	PF00917	80	203
AT2G25320.3	PF00917	581	688
AT2G45660.2	PF00319	10	57
AT2G45660.2	PF01486	84	157
AT2G01660.3	PF01657	32	129
AT2G01660.3	PF01657	174	231
AT2G43010.4	PF00010	261	307
AT2G37450.3	PF00892	87	226
AT2G44140.4	PF03416	55	337
AT2G46040.2	PF01388	71	145
AT1G43000.2	PF04640	71	142
AT1G52500.5	PF01149	1	131
AT1G52500.5	PF06831	146	222
AT2G43140.1	PF00010	145	191
AT2G36810.2	PF12717	1396	1514
AT1G65260.2	PF04012	2	218
AT2G37020.3	PF01997	101	292
AT2G21610.2	PF01095	58	333
AT2G12646.3	PF04640	57	128
AT1G80720.2	PF02330	68	239
AT1G43040.2	PF02519	17	88
AT1G12250.3	PF00805	2	35
AT1G12250.3	PF00805	41	73
AT1G79030.2	PF00226	159	223
AT1G79030.2	PF14901	255	352
AT1G15215.4	PF16719	126	242
AT1G68090.2	PF00191	87	151
AT1G68090.2	PF00191	16	79
AT1G68090.2	PF00191	171	236
AT1G17230.2	PF00069	800	1070
AT1G17230.2	PF08263	25	63
AT1G17230.2	PF13855	573	632
AT1G17230.2	PF13855	140	197
AT1G10570.3	PF02902	214	418
AT2G47410.5	PF00439	1440	1506
AT2G47410.5	PF00400	227	264
AT2G47410.5	PF00400	312	351
AT2G47410.5	PF00400	270	305
AT2G47410.5	PF00400	390	418
AT2G47410.5	PF00400	570	609
AT1G69070.2	PF04147	28	887
AT1G30270.3	PF00069	2	189
AT1G30270.3	PF03822	233	292
AT1G16060.7	PF00847	10	54
AT1G14700.3	PF00149	4	188
AT1G17230.3	PF00069	800	971
AT1G17230.3	PF08263	25	63
AT1G17230.3	PF13855	140	197
AT1G53025.2	PF00179	277	422
AT1G66910.2	PF07714	347	617
AT1G66910.2	PF13947	38	100
AT1G66910.2	PF14380	167	261
AT1G04020.1	PF00533	494	563
AT1G04020.1	PF13771	371	450
AT1G04020.1	PF13923	24	62
AT1G60800.2	PF00069	235	505
AT1G60800.2	PF13855	32	91
AT1G14910.2	PF07651	31	304
AT1G07520.3	PF03514	317	693
AT1G53660.3	PF03151	41	322
AT1G25240.2	PF07651	33	290
AT1G16825.2	PF02453	7	109
AT1G64480.4	PF13499	114	180
AT1G64480.4	PF13833	54	98
AT1G48310.4	PF00176	190	436
AT1G01220.4	PF00288	712	773
AT1G01220.4	PF07959	24	421
AT1G01220.4	PF08544	863	934
AT1G01760.3	PF02137	63	424
AT1G74650.2	PF00249	7	31
AT1G03060.2	PF00400	3375	3407
AT1G03060.2	PF02138	2964	3243
AT1G03060.2	PF14844	2874	2925
AT1G74310.2	PF00004	204	317
AT1G74310.2	PF02861	96	146
AT1G74310.2	PF02861	17	57
AT1G74310.2	PF07724	598	762
AT1G74310.2	PF10431	768	813
AT1G74310.2	PF17871	344	442
AT1G01520.3	PF00249	61	106
AT1G24706.3	PF11262	911	1202
AT1G24706.3	PF11732	587	662
AT1G24706.3	PF16134	38	427
AT1G24706.3	PF16134	433	585
AT1G76280.4	PF01535	335	364
AT1G76280.4	PF13041	558	602
AT1G76280.4	PF13812	437	482
AT1G77860.2	PF01694	118	256
AT1G46768.3	PF00847	31	79
AT1G01760.2	PF02137	63	401
AT1G03457.3	PF00076	227	297
AT1G03457.3	PF00076	2	61
AT1G10810.3	PF00248	21	261
AT1G55180.2	PF00168	18	91
AT1G55180.2	PF12357	663	729
AT1G55180.2	PF13091	442	626
AT1G27380.4	PF00786	126	148
AT1G11940.2	PF02485	75	251
AT1G01740.5	PF07714	68	307
AT1G03410.2	PF03171	212	309
AT1G03410.2	PF14226	57	158
AT1G06330.1	PF00403	7	61
AT1G53160.3	PF03110	54	127
AT1G07050.2	PF06203	151	190
AT1G76580.1	PF03110	114	187
AT1G56060.2	PF12734	23	71
AT1G26680.4	PF02362	731	822
AT1G26680.4	PF02362	158	249
AT1G26680.4	PF02362	619	708
AT1G26680.4	PF02362	271	360
AT1G26680.4	PF02362	441	530
AT1G26680.4	PF02362	893	989
AT1G26680.4	PF02362	23	97
AT1G78530.2	PF00069	77	274
AT1G16490.2	PF00249	19	45
AT1G73410.2	PF00249	6	52
AT1G73410.2	PF00249	58	101
AT1G16290.2	PF01464	84	189
AT1G17520.3	PF00538	128	188
AT1G17520.3	PF00249	6	56
AT1G72860.3	PF00931	189	427
AT1G72860.3	PF01582	11	178
AT1G63950.2	PF00403	8	60
AT1G08260.2	PF00136	746	1070
AT1G08260.2	PF03104	74	400
AT1G08260.2	PF08490	1509	1872
AT1G01190.2	PF00067	80	514
AT1G17520.2	PF00538	128	198
AT1G17520.2	PF00249	6	56
AT1G68280.1	PF03061	70	153
AT1G60650.4	PF00098	73	89
AT1G60650.4	PF00076	5	40
AT1G18650.2	PF07983	20	91
AT1G29330.2	PF00810	1	109
AT1G54560.2	PF00063	64	720
AT1G54560.2	PF00612	832	852
AT1G54560.2	PF00612	785	804
AT1G54560.2	PF01843	1345	1448
AT1G54560.2	PF02736	9	51
AT1G10450.1	PF02671	135	178
AT1G10450.2	PF02671	135	178
AT1G10450.1	PF02671	50	94
AT1G10450.2	PF02671	50	94
AT1G10450.1	PF08295	301	392
AT1G10450.2	PF08295	301	392
AT1G10450.1	PF16879	842	1085
AT1G10450.2	PF16879	842	1085
AT1G75420.2	PF00534	167	347
AT1G75420.2	PF16994	1	159
AT1G06960.2	PF00076	12	82
AT1G63260.4	PF00335	8	172
AT1G15030.2	PF05623	47	288
AT1G78955.4	PF13243	351	689
AT1G78955.4	PF13249	37	297
AT1G11990.2	PF10250	178	546
AT1G02310.2	PF00150	60	346
AT1G51790.2	PF07714	640	895
AT1G51790.2	PF12819	32	357
AT1G76320.3	PF03101	12	97
AT1G76320.3	PF04434	490	524
AT1G76320.3	PF10551	212	304
AT1G55980.2	PF13450	25	93
AT1G70700.3	PF06200	116	147
AT1G70700.3	PF09425	220	238
AT1G01860.4	PF00398	72	307
AT1G30660.3	PF13662	195	286
AT1G30660.2	PF13662	198	289
AT1G45010.2	PF03798	3	137
AT1G54730.11	PF00083	36	334
AT1G01860.3	PF00398	3	229
AT1G01860.2	PF00398	3	260
AT3G21340.2	PF07714	594	702
AT3G21340.2	PF12819	36	358
AT3G21340.2	PF13855	416	474
AT3G17970.2	PF01425	55	441
AT3G01510.2	PF00782	157	287
AT3G01510.3	PF00782	157	287
AT3G01510.2	PF16561	314	395
AT3G01510.3	PF16561	314	395
AT3G13740.3	PF00636	99	200
AT3G13740.5	PF00636	99	163
AT3G13740.6	PF00636	99	192
AT3G21280.2	PF00240	6	73
AT3G21280.2	PF00443	105	470
AT3G24880.2	PF07529	570	609
AT3G24880.3	PF07529	570	609
AT3G24880.2	PF13921	1053	1108
AT3G24880.3	PF13921	1053	1108
AT3G55890.2	PF03226	14	101
AT3G55890.3	PF03226	14	101
AT3G28130.3	PF00892	78	201
AT3G28130.4	PF00892	25	154
AT3G28130.6	PF00892	25	154
AT3G53720.2	PF00999	13	357
AT3G27610.4	PF01467	150	314
AT3G27610.6	PF01467	150	314
AT3G27610.7	PF01467	150	314
AT3G27610.9	PF01467	150	314
AT3G27610.3	PF01467	107	271
AT3G27610.5	PF01467	107	271
AT3G27610.8	PF01467	107	271
AT3G16440.2	PF01419	188	319
AT3G16440.2	PF01419	36	168
AT3G46110.3	PF06136	54	249
AT3G46110.3	PF06136	1	47
AT3G59090.4	PF06454	117	263
AT3G22930.2	PF00036	108	129
AT3G22930.2	PF13499	36	96
AT3G09180.2	PF11571	293	356
AT3G18215.2	PF04654	1	143
AT3G14540.2	PF01397	70	247
AT3G14540.2	PF03936	278	506
AT3G14010.5	PF06741	214	283
AT3G14010.5	PF07145	471	482
AT3G14010.5	PF14438	55	138
AT3G48300.2	PF00067	33	463
AT3G47460.2	PF02463	2	1161
AT3G47460.2	PF06470	518	638
AT3G20475.2	PF00488	566	749
AT3G20475.2	PF05192	190	515
AT3G20475.3	PF00488	566	737
AT3G20475.3	PF05192	190	515
AT3G55660.2	PF03759	106	437
AT3G59340.2	PF06027	39	330
AT3G59340.3	PF06027	39	330
AT3G59340.4	PF06027	39	330
AT3G29410.2	PF01397	7	144
AT3G29410.2	PF03936	175	440
AT3G52600.3	PF00251	8	317
AT3G52600.3	PF08244	320	524
AT3G02400.2	PF00498	29	95
AT3G05870.1	PF12861	1	87
AT3G05870.2	PF12861	1	87
AT3G05870.6	PF12861	1	87
AT3G05870.7	PF12861	1	78
AT3G16320.3	PF00515	490	521
AT3G16320.3	PF12895	16	89
AT3G16320.4	PF00515	501	532
AT3G16320.4	PF12895	16	89
AT3G16857.3	PF00072	3	77
AT3G16857.3	PF00249	169	219
AT3G50480.2	PF05659	11	142
AT3G54320.4	PF00847	100	151
AT3G54320.5	PF00847	100	151
AT3G54150.2	PF08241	39	133
AT3G10180.2	PF00225	35	325
AT3G10450.3	PF00450	4	369
AT3G50150.2	PF03140	92	369
AT3G02875.2	PF01546	110	252
AT3G02875.2	PF07687	218	310
AT3G02875.3	PF01546	110	249
AT3G19440.2	PF00849	192	337
AT3G62310.2	PF00270	69	226
AT3G62310.2	PF00271	269	403
AT3G62310.2	PF04408	466	526
AT3G62310.3	PF00270	69	226
AT3G62310.3	PF00271	269	403
AT3G62310.3	PF04408	466	529
AT3G07130.2	PF00149	188	397
AT3G07130.2	PF14008	489	544
AT3G07130.2	PF16656	64	176
AT3G46460.2	PF00179	8	116
AT3G46460.3	PF00179	8	116
AT3G27510.2	PF03107	46	93
AT3G27510.2	PF03107	4	36
AT3G27510.2	PF03107	129	176
AT3G43610.2	PF04130	879	1194
AT3G43610.2	PF17681	57	384
AT3G43610.3	PF04130	842	1156
AT3G43610.3	PF17681	57	384
AT3G04440.2	PF04515	185	418
AT3G04110.2	PF00060	513	752
AT3G04110.2	PF00497	620	710
AT3G04110.2	PF01094	47	377
AT3G04110.3	PF00060	541	634
AT3G04110.3	PF00497	448	697
AT3G04110.3	PF01094	47	377
AT3G05790.2	PF00004	441	580
AT3G05790.2	PF02190	80	288
AT3G05790.2	PF05362	723	927
AT3G60250.3	PF01214	89	232
AT3G07860.2	PF18036	52	136
AT3G21940.2	PF01657	67	175
AT3G21940.2	PF01657	4	43
AT3G24515.3	PF00179	68	184
AT3G47660.7	PF00415	338	387
AT3G47660.7	PF00415	439	486
AT3G47660.7	PF00415	279	328
AT3G47660.7	PF00415	173	221
AT3G47660.7	PF00415	224	276
AT3G47660.7	PF01363	495	555
AT3G47660.6	PF00415	405	454
AT3G47660.6	PF00415	506	553
AT3G47660.6	PF00415	346	395
AT3G47660.6	PF00415	240	288
AT3G47660.6	PF00415	291	343
AT3G47660.6	PF01363	562	622
AT3G47660.4	PF00415	519	568
AT3G47660.4	PF00415	620	667
AT3G47660.4	PF00415	460	509
AT3G47660.4	PF00415	354	402
AT3G47660.4	PF00415	405	457
AT3G47660.4	PF01363	676	736
AT3G47660.2	PF00415	483	532
AT3G47660.2	PF00415	584	631
AT3G47660.2	PF00415	424	473
AT3G47660.2	PF00415	318	366
AT3G47660.2	PF00415	369	421
AT3G47660.2	PF01363	640	700
AT3G49840.2	PF10225	163	441
AT3G53240.2	PF08263	8	52
AT3G53240.2	PF13855	743	798
AT3G53240.2	PF13855	215	273
AT3G53240.2	PF13855	410	470
AT3G14690.2	PF00067	122	522
AT3G51960.3	PF07716	54	107
AT3G52370.2	PF02469	96	220
AT3G52370.2	PF02469	327	447
AT3G26440.6	PF05212	116	403
AT3G26440.5	PF05212	116	403
AT3G55970.2	PF03171	214	282
AT3G55970.2	PF14226	52	163
AT3G12170.2	PF00226	47	109
AT3G11470.4	PF01648	144	242
AT3G11470.7	PF01648	75	173
AT3G11470.9	PF01648	59	157
AT3G11470.8	PF01648	80	178
AT3G11470.5	PF01648	144	228
AT3G11470.6	PF01648	144	228
AT3G02460.3	PF00566	91	298
AT3G02460.4	PF00566	91	298
AT3G02460.5	PF00566	91	278
AT3G09240.2	PF07714	3	195
AT3G16690.2	PF03083	6	92
AT3G16690.3	PF03083	41	127
AT3G16690.3	PF03083	164	247
AT3G28070.4	PF00892	27	128
AT3G56410.3	PF11331	241	285
AT3G42153.1	PF00759	12	108
AT3G09550.2	PF12796	99	210
AT3G09550.2	PF12796	249	311
AT3G09550.2	PF12796	219	278
AT3G09550.2	PF12796	182	242
AT3G09550.2	PF12796	284	349
AT3G09550.2	PF13962	436	540
AT3G58620.2	PF00515	485	516
AT3G58620.2	PF13174	519	548
AT3G58620.2	PF13432	218	278
AT3G46270.2	PF12819	40	362
AT3G01085.3	PF00069	115	400
AT3G01080.2	PF03106	344	400
AT3G01080.2	PF03106	205	261
AT3G01080.3	PF03106	205	261
AT3G01550.2	PF03151	77	364
AT3G14225.2	PF00657	38	354
AT3G53760.3	PF04130	405	698
AT3G53760.3	PF17681	2	398
AT3G53760.2	PF04130	401	672
AT3G53760.2	PF17681	2	396
AT3G02850.3	PF00027	423	507
AT3G02850.3	PF00520	83	328
AT3G02850.2	PF00027	423	507
AT3G02850.2	PF00520	83	328
AT3G02850.2	PF12796	554	643
AT3G02850.2	PF12796	653	731
AT3G22020.1	PF01657	44	100
AT3G22020.2	PF01657	44	100
AT3G22020.1	PF01657	125	199
AT3G22020.2	PF01657	125	199
AT3G49600.3	PF00443	107	386
AT3G45740.2	PF13242	179	266
AT3G04460.2	PF04757	21	303
AT3G24530.2	PF00004	200	316
AT3G24530.2	PF12796	3	68
AT3G24530.2	PF12796	35	106
AT3G24530.3	PF00004	156	272
AT3G24530.3	PF12796	2	71
AT3G47600.2	PF00249	61	106
AT3G57410.10	PF00626	29	111
AT3G57410.10	PF00626	270	337
AT3G57410.10	PF00626	413	483
AT3G57410.10	PF00626	153	205
AT3G57410.10	PF00626	533	601
AT3G57410.10	PF00626	635	713
AT3G57410.6	PF00626	29	111
AT3G57410.6	PF00626	270	337
AT3G57410.6	PF00626	413	483
AT3G57410.6	PF00626	153	205
AT3G57410.6	PF00626	533	601
